Date,USD Exchange Rate
2016/06/03,66.7491
2016/06/04,66.8529
2016/06/07,65.7894
2016/06/08,65.2089
2016/06/09,64.6797
2016/06/10,63.7402
2016/06/11,64.7077
2016/06/15,66.0306
2016/06/16,65.9156
2016/06/17,65.8618
2016/06/18,65.4398
2016/06/21,64.1509
2016/06/22,64.1743
2016/06/23,63.7162
2016/06/24,64.3212
2016/06/25,65.5287
2016/06/28,65.0588
2016/06/29,64.8095
2016/06/30,64.2575
2016/07/01,64.1755
2016/07/02,64.0165
2016/07/05,63.6844
2016/07/06,64.2676
2016/07/07,64.6304
2016/07/08,64.05
2016/07/09,64.2488
2016/07/12,64.2024
2016/07/13,63.9029
2016/07/14,63.8531
2016/07/15,63.5773
2016/07/16,63.1697
2016/07/19,63.1154
2016/07/20,62.9891
2016/07/21,63.4183
2016/07/22,63.7373
2016/07/23,64.627
2016/07/26,64.9184
2016/07/27,65.7408
2016/07/28,65.9467
2016/07/29,66.1125
2016/07/30,67.0512
2016/08/02,65.9553
2016/08/03,66.8816
2016/08/04,66.742
2016/08/05,66.3941
2016/08/06,65.5627
2016/08/09,65.0799
2016/08/10,64.7848
2016/08/11,64.8137
2016/08/12,64.9497
2016/08/13,64.3364
2016/08/16,64.2076
2016/08/17,63.9514
2016/08/18,63.9943
2016/08/19,63.5487
2016/08/20,63.9391
2016/08/23,64.2078
2016/08/24,64.7684
2016/08/25,64.814
2016/08/26,64.9459
2016/08/27,64.738
2016/08/30,65.081
2016/08/31,64.9072
2016/09/01,65.2535
2016/09/02,65.2566
2016/09/03,65.8684
2016/09/06,64.7644
2016/09/07,64.8306
2016/09/08,64.3804
2016/09/09,63.973
2016/09/10,64.1617
2016/09/13,65.0539
2016/09/14,64.8102
2016/09/15,64.9737
2016/09/16,65.217
2016/09/17,64.994
2016/09/20,64.9173
2016/09/21,64.7513
2016/09/22,64.4424
2016/09/23,63.7942
2016/09/24,63.8642
2016/09/27,64.1506
2016/09/28,63.6921
2016/09/29,63.9509
2016/09/30,63.1581
2016/10/01,63.396
2016/10/04,62.5477
2016/10/05,62.4323
2016/10/06,62.4583
2016/10/07,62.39
2016/10/08,62.3031
2016/10/11,62.3884
2016/10/12,62.1946
2016/10/13,62.5892
2016/10/14,63.3465
2016/10/15,62.9934
2016/10/18,63.151
2016/10/19,62.89
2016/10/20,62.5841
2016/10/21,62.4194
2016/10/22,62.4499
2016/10/25,62.2349
2016/10/26,62.048
2016/10/27,62.2597
